Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.00006099,$0.00008268,$0.00006099,$0.00008267,"$54,330","$1,238,157"
"Dec 30, 2022",$0.00008296,$0.00008298,$0.00006099,$0.00006099,"$57,223","$913,227"
"Dec 29, 2022",$0.00008295,$0.00008297,$0.00008295,$0.00008296,"$59,103","$1,241,934"
"Dec 28, 2022",$0.00008297,$0.00008297,$0.00008295,$0.00008295,"$57,332","$1,241,638"
"Dec 27, 2022",$0.00008298,$0.00008298,$0.00008297,$0.00008297,"$60,650","$1,241,605"
"Dec 26, 2022",$0.00008289,$0.00008298,$0.00008289,$0.00008298,"$59,431","$1,241,547"
"Dec 25, 2022",$0.0000898,$0.0000898,$0.00008289,$0.0000829,"$56,765","$1,240,044"
"Dec 24, 2022",$0.0000898,$0.00008981,$0.0000898,$0.0000898,"$54,607","$1,343,058"
"Dec 23, 2022",$0.0000898,$0.00008981,$0.00008979,$0.0000898,"$55,768","$1,342,787"
"Dec 22, 2022",$0.00008981,$0.00008981,$0.0000898,$0.0000898,"$57,101","$1,342,569"
"Dec 21, 2022",$0.00008894,$0.00008982,$0.00005103,$0.00008981,"$56,634","$1,342,397"
"Dec 20, 2022",$0.00008831,$0.00008895,$0.00008828,$0.00008895,"$59,483","$1,329,259"
"Dec 19, 2022",$0.00008881,$0.00008882,$0.00006,$0.00008831,"$57,210","$1,319,451"
"Dec 18, 2022",$0.00008989,$0.0000899,$0.00005104,$0.00008881,"$60,997","$1,326,773"
"Dec 17, 2022",$0.00008992,$0.00008993,$0.00006001,$0.00008989,"$62,031","$1,342,664"
"Dec 16, 2022",$0.00008992,$0.00008993,$0.00008991,$0.00008992,"$60,786","$1,342,836"
"Dec 15, 2022",$0.00008992,$0.00008993,$0.00008991,$0.00008992,"$62,025","$1,342,475"
"Dec 14, 2022",$0.00008991,$0.00008992,$0.00008991,$0.00008992,"$61,919","$1,342,252"
"Dec 13, 2022",$0.00008992,$0.00008996,$0.00008991,$0.00008991,"$62,021","$1,341,871"
"Dec 12, 2022",$0.00008992,$0.00008993,$0.00008991,$0.00008992,"$57,456","$1,341,719"
"Dec 11, 2022",$0.00008991,$0.00008992,$0.00008991,$0.00008992,"$55,025","$1,341,350"
"Dec 10, 2022",$0.00008992,$0.00008992,$0.00008991,$0.00008991,"$59,056","$1,341,120"
"Dec 09, 2022",$0.0000624,$0.00008992,$0.0000624,$0.00008992,"$59,358","$1,340,871"
"Dec 08, 2022",$0.00008993,$0.00008993,$0.000062,$0.0000624,"$61,412","$930,230"
"Dec 07, 2022",$0.00008994,$0.00008994,$0.00008993,$0.00008993,"$9,807","$1,340,570"
"Dec 06, 2022",$0.00008994,$0.00008994,$0.00008993,$0.00008994,"$9,434","$1,340,414"
"Dec 05, 2022",$0.00008994,$0.00008995,$0.00008993,$0.00008993,"$9,202","$1,340,121"
"Dec 04, 2022",$0.00008994,$0.00008995,$0.00008993,$0.00008994,"$8,799","$1,339,950"
"Dec 03, 2022",$0.00008993,$0.00008994,$0.00008993,$0.00008994,"$9,079","$1,339,606"
"Dec 02, 2022",$0.00008993,$0.00008994,$0.00008993,$0.00008994,"$9,602","$1,339,346"
"Dec 01, 2022",$0.00008993,$0.00008994,$0.00008993,$0.00008993,"$9,217","$1,339,059"
"Nov 30, 2022",$0.00008697,$0.00008993,$0.00008696,$0.00008993,"$9,363","$1,338,763"
"Nov 29, 2022",$0.00008697,$0.00008698,$0.00005598,$0.00008697,"$8,959","$1,294,395"
"Nov 28, 2022",$0.00008697,$0.00008698,$0.00008696,$0.00008697,"$2,781","$1,294,012"
"Nov 27, 2022",$0.00008696,$0.00008697,$0.00008696,$0.00008697,"$4,154","$1,293,867"
"Nov 26, 2022",$0.00005349,$0.00008697,$0.00005348,$0.00008696,"$4,088","$1,293,568"
"Nov 25, 2022",$0.00009093,$0.00009094,$0.00005348,$0.00005349,"$3,029","$795,471"
"Nov 24, 2022",$0.00009091,$0.00009094,$0.0000909,$0.00009093,"$5,846","$1,352,030"
"Nov 23, 2022",$0.0000909,$0.00009091,$0.00009088,$0.00009091,"$5,990","$1,351,450"
"Nov 22, 2022",$0.0000909,$0.00009092,$0.00009088,$0.0000909,"$6,589","$1,350,968"
"Nov 21, 2022",$0.00009089,$0.0000909,$0.00009086,$0.0000909,"$6,973","$1,350,775"
"Nov 20, 2022",$0.0000909,$0.00009091,$0.00009087,$0.00009089,"$8,675","$1,350,372"
"Nov 19, 2022",$0.0000909,$0.00009092,$0.00009089,$0.0000909,"$9,712","$1,350,279"
"Nov 18, 2022",$0.00009093,$0.00009093,$0.0000909,$0.0000909,"$10,301","$1,350,098"
"Nov 17, 2022",$0.00009091,$0.00009095,$0.00009091,$0.00009093,"$11,061","$1,350,155"
"Nov 16, 2022",$0.0000909,$0.00009093,$0.00009089,$0.00009091,"$12,104","$1,349,645"
"Nov 15, 2022",$0.00009089,$0.00009091,$0.00009087,$0.0000909,"$12,084","$1,349,250"
"Nov 14, 2022",$0.00009087,$0.0000909,$0.00009085,$0.00009089,"$14,674","$1,348,833"
"Nov 13, 2022",$0.00009484,$0.00009486,$0.00009085,$0.00009087,"$15,058","$1,348,212"
"Nov 12, 2022",$0.0000948,$0.00009486,$0.00009476,$0.00009484,"$14,649","$1,406,876"
"Nov 11, 2022",$0.00009476,$0.00009483,$0.00009467,$0.0000948,"$14,291","$1,406,033"
"Nov 10, 2022",$0.00009484,$0.00009487,$0.00009322,$0.00009476,"$15,798","$1,405,214"
"Nov 09, 2022",$0.00009,$0.00009487,$0.00008988,$0.00009484,"$13,813","$1,406,016"
"Nov 08, 2022",$0.00009499,$0.00009501,$0.00009,$0.00009,"$14,857","$1,334,090"
"Nov 07, 2022",$0.00009499,$0.000095,$0.00009498,$0.00009499,"$15,793","$1,407,715"
"Nov 06, 2022",$0.00009499,$0.000095,$0.00009498,$0.00009499,"$14,329","$1,407,434"
