Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.005848,$0.006328,$0.005394,$0.005695,"$813,164","$4,426,313"
"Dec 30, 2022",$0.006477,$0.006629,$0.005741,$0.005837,"$837,984","$4,536,799"
"Dec 29, 2022",$0.006851,$0.006855,$0.00615,$0.006477,"$796,189","$5,034,404"
"Dec 28, 2022",$0.006651,$0.007209,$0.00664,$0.006851,"$811,234","$5,324,856"
"Dec 27, 2022",$0.006442,$0.008239,$0.006352,$0.006642,"$866,092","$5,162,499"
"Dec 26, 2022",$0.005961,$0.006884,$0.005941,$0.006444,"$843,859","$5,008,952"
"Dec 25, 2022",$0.006169,$0.006269,$0.00561,$0.005965,"$828,682","$4,636,341"
"Dec 24, 2022",$0.006406,$0.006565,$0.006098,$0.006169,"$837,500","$4,794,599"
"Dec 23, 2022",$0.007336,$0.007713,$0.006335,$0.006406,"$830,517","$4,978,814"
"Dec 22, 2022",$0.007739,$0.008418,$0.00671,$0.007337,"$952,728","$5,702,633"
"Dec 21, 2022",$0.008405,$0.009151,$0.006886,$0.007732,"$1,200,529","$6,009,588"
"Dec 20, 2022",$0.009897,$0.01005,$0.007707,$0.008439,"$983,029","$6,559,215"
"Dec 19, 2022",$0.01074,$0.01286,$0.008514,$0.009897,"$1,673,862","$7,692,435"
"Dec 18, 2022",$0.01072,$0.01145,$0.01003,$0.01074,"$892,072","$8,349,844"
"Dec 17, 2022",$0.01069,$0.01113,$0.009861,$0.01073,"$928,350","$8,338,950"
"Dec 16, 2022",$0.01393,$0.01402,$0.01026,$0.01072,"$1,223,813","$8,328,626"
"Dec 15, 2022",$0.01035,$0.01754,$0.0101,$0.01407,"$2,335,969","$10,932,131"
"Dec 14, 2022",$0.01004,$0.01082,$0.009493,$0.01036,"$959,754","$8,055,676"
"Dec 13, 2022",$0.01253,$0.01267,$0.009983,$0.01003,"$1,032,111","$7,794,220"
"Dec 12, 2022",$0.01389,$0.01609,$0.01128,$0.01255,"$1,281,419","$9,755,714"
