Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.05245,$0.05338,$0.05231,$0.05307,"$700,227","$40,465,340"
"Dec 30, 2022",$0.0528,$0.05286,$0.05214,$0.05245,"$703,231","$39,989,216"
"Dec 29, 2022",$0.05467,$0.0548,$0.05208,$0.0528,"$701,475","$40,253,985"
"Dec 28, 2022",$0.05495,$0.0553,$0.05446,$0.05467,"$700,245","$41,679,883"
"Dec 27, 2022",$0.05661,$0.05661,$0.05469,$0.05495,"$702,114","$41,893,386"
"Dec 26, 2022",$0.05565,$0.05661,$0.05553,$0.05661,"$705,696","$43,155,197"
"Dec 25, 2022",$0.0561,$0.05618,$0.05542,$0.05565,"$704,269","$42,426,467"
"Dec 24, 2022",$0.05531,$0.0562,$0.05525,$0.0561,"$705,548","$42,762,448"
"Dec 23, 2022",$0.05505,$0.05542,$0.0548,$0.05531,"$702,116","$42,160,734"
"Dec 22, 2022",$0.05581,$0.05594,$0.05359,$0.05505,"$705,267","$41,959,196"
"Dec 21, 2022",$0.05606,$0.05617,$0.05563,$0.05581,"$701,237","$42,536,064"
"Dec 20, 2022",$0.05497,$0.05633,$0.05496,$0.05606,"$707,207","$42,726,908"
"Dec 19, 2022",$0.05539,$0.06077,$0.05391,$0.05497,"$700,573","$41,892,620"
"Dec 18, 2022",$0.05568,$0.0559,$0.05513,$0.05539,"$707,074","$42,213,087"
"Dec 17, 2022",$0.05475,$0.05571,$0.05467,$0.05568,"$705,535","$42,431,986"
"Dec 16, 2022",$0.05692,$0.05728,$0.05441,$0.05475,"$686,170","$41,725,419"
"Dec 15, 2022",$0.0472,$0.05788,$0.04711,$0.05692,"$698,608","$42,360,718"
"Dec 14, 2022",$0.0469,$0.04812,$0.04685,$0.04721,"$699,090","$35,135,371"
"Dec 13, 2022",$0.05214,$0.0708,$0.04675,$0.0469,"$714,225","$34,899,814"
"Dec 12, 2022",$0.05224,$0.05224,$0.0515,$0.05214,"$709,685","$38,801,946"
"Dec 11, 2022",$0.05265,$0.05285,$0.05192,$0.05224,"$701,643","$38,880,459"
"Dec 10, 2022",$0.05415,$0.05427,$0.04337,$0.05265,"$704,753","$39,179,613"
"Dec 09, 2022",$0.05479,$0.05487,$0.05381,$0.05414,"$699,856","$40,294,701"
"Dec 08, 2022",$0.05681,$0.0569,$0.05474,$0.05479,"$715,691","$40,776,256"
"Dec 07, 2022",$0.05612,$0.05687,$0.05505,$0.05681,"$700,439","$42,276,847"
"Dec 06, 2022",$0.05689,$0.05729,$0.05556,$0.05612,"$705,436","$41,765,061"
"Dec 05, 2022",$0.05821,$0.05925,$0.05658,$0.05689,"$695,940","$42,337,805"
"Dec 04, 2022",$0.05695,$0.05822,$0.05686,$0.05822,"$706,750","$43,325,202"
"Dec 03, 2022",$0.05779,$0.05826,$0.0568,$0.05695,"$696,528","$42,384,810"
"Dec 02, 2022",$0.05738,$0.05781,$0.05714,$0.05779,"$708,444","$43,005,221"
"Dec 01, 2022",$0.05856,$0.05861,$0.05713,$0.05738,"$701,340","$42,702,379"
"Nov 30, 2022",$0.05717,$0.05982,$0.05713,$0.05856,"$711,102","$43,579,964"
"Nov 29, 2022",$0.0549,$0.05735,$0.05467,$0.05717,"$705,647","$42,547,766"
"Nov 28, 2022",$0.05549,$0.05577,$0.0546,$0.0549,"$703,118","$40,855,668"
"Nov 27, 2022",$0.05512,$0.05656,$0.05501,$0.0555,"$698,073","$41,302,723"
"Nov 26, 2022",$0.05473,$0.05589,$0.05462,$0.05512,"$697,235","$41,022,615"
"Nov 25, 2022",$0.05488,$0.05581,$0.05448,$0.05473,"$703,431","$40,732,559"
"Nov 24, 2022",$0.05602,$0.05682,$0.05431,$0.05488,"$703,498","$40,843,918"
"Nov 23, 2022",$0.05511,$0.05651,$0.05498,$0.05602,"$710,022","$41,687,140"
"Nov 22, 2022",$0.05537,$0.05594,$0.05462,$0.0551,"$714,426","$41,008,040"
"Nov 21, 2022",$0.05568,$0.05592,$0.05467,$0.05538,"$694,667","$41,215,847"
"Nov 20, 2022",$0.05608,$0.05625,$0.05482,$0.05569,"$688,660","$41,441,631"
"Nov 19, 2022",$0.05656,$0.05656,$0.05592,$0.05608,"$706,667","$41,733,981"
"Nov 18, 2022",$0.05448,$0.0575,$0.0544,$0.05656,"$700,740","$42,094,848"
"Nov 17, 2022",$0.05486,$0.05506,$0.05401,$0.05448,"$705,157","$40,544,954"
"Nov 16, 2022",$0.05615,$0.05635,$0.05409,$0.05485,"$700,253","$40,821,048"
"Nov 15, 2022",$0.05606,$0.05668,$0.05524,$0.05615,"$704,116","$41,786,251"
"Nov 14, 2022",$0.05588,$0.05764,$0.05487,$0.05606,"$707,018","$41,722,935"
"Nov 13, 2022",$0.05928,$0.05971,$0.05563,$0.05588,"$694,592","$41,589,527"
"Nov 12, 2022",$0.0581,$0.06021,$0.05657,$0.05927,"$701,298","$44,111,931"
"Nov 11, 2022",$0.05993,$0.0604,$0.05583,$0.05809,"$705,441","$43,233,437"
"Nov 10, 2022",$0.04674,$0.06284,$0.04663,$0.05994,"$728,517","$44,606,746"
"Nov 09, 2022",$0.06274,$0.06294,$0.04613,$0.04673,"$660,315","$34,778,588"
"Nov 08, 2022",$0.06445,$0.06844,$0.05827,$0.06273,"$673,995","$46,682,614"
"Nov 07, 2022",$0.06552,$0.06646,$0.06412,$0.06445,"$698,233","$47,966,711"
"Nov 06, 2022",$0.06719,$0.06737,$0.06468,$0.06552,"$695,671","$48,763,596"
"Nov 05, 2022",$0.06654,$0.0676,$0.0664,$0.06719,"$699,836","$50,000,806"
"Nov 04, 2022",$0.06463,$0.06841,$0.06442,$0.06654,"$716,949","$49,519,796"
"Nov 03, 2022",$0.06536,$0.0671,$0.06444,$0.06464,"$701,282","$48,102,777"
"Nov 02, 2022",$0.07061,$0.0721,$0.06536,$0.06536,"$694,677","$48,640,573"
"Nov 01, 2022",$0.07192,$0.07256,$0.07018,$0.07062,"$701,549","$52,555,539"
"Oct 31, 2022",$0.07044,$0.07319,$0.06876,$0.07192,"$703,608","$53,524,508"
"Oct 30, 2022",$0.07322,$0.07351,$0.07022,$0.07045,"$702,982","$52,425,322"
"Oct 29, 2022",$0.07433,$0.07656,$0.07271,$0.07322,"$709,396","$54,487,384"
"Oct 28, 2022",$0.07149,$0.07476,$0.07098,$0.07433,"$682,017","$55,318,529"
"Oct 27, 2022",$0.07416,$0.0748,$0.07133,$0.07149,"$644,843","$53,204,790"
"Oct 26, 2022",$0.07656,$0.07738,$0.07261,$0.07415,"$600,206","$55,181,232"
"Oct 25, 2022",$0.07526,$0.07778,$0.07336,$0.07658,$0,"$56,989,277"
"Oct 24, 2022",$0.07244,$0.07568,$0.07177,$0.07526,"$706,416","$56,011,826"
"Oct 23, 2022",$0.07609,$0.07619,$0.07221,$0.07244,"$719,181","$53,910,137"
"Oct 22, 2022",$0.07556,$0.07672,$0.07492,$0.07609,"$710,517","$56,627,651"
"Oct 21, 2022",$0.07175,$0.07578,$0.07139,$0.07556,"$710,712","$56,233,191"
"Oct 20, 2022",$0.07358,$0.07385,$0.07158,$0.07175,"$700,488","$53,395,672"
"Oct 19, 2022",$0.07237,$0.07576,$0.07207,$0.07358,"$703,974","$54,757,887"
"Oct 18, 2022",$0.06926,$0.07276,$0.06924,$0.07237,"$706,143","$53,856,749"
"Oct 17, 2022",$0.07097,$0.07307,$0.06865,$0.06926,"$711,823","$51,544,278"
"Oct 16, 2022",$0.07027,$0.07199,$0.06806,$0.07097,"$712,174","$52,816,158"
"Oct 15, 2022",$0.07113,$0.07265,$0.07004,$0.07027,"$703,637","$52,291,329"
