Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02403,$0.02513,$0.02364,$0.02434,"$487,706","$2,572,119"
"Dec 30, 2022",$0.02418,$0.02518,$0.0236,$0.02404,"$510,057","$2,539,804"
"Dec 29, 2022",$0.02494,$0.02576,$0.02384,$0.02418,"$941,675","$2,554,637"
"Dec 28, 2022",$0.02528,$0.02677,$0.02449,$0.02494,"$1,122,220","$2,634,914"
"Dec 27, 2022",$0.02517,$0.0258,$0.02417,$0.02528,"$647,033","$2,671,181"
"Dec 26, 2022",$0.02522,$0.02553,$0.02395,$0.02517,"$741,307","$2,659,098"
"Dec 25, 2022",$0.02547,$0.02629,$0.02503,$0.02522,"$625,010","$2,664,960"
"Dec 24, 2022",$0.02561,$0.02659,$0.02504,$0.02546,"$792,522","$2,689,751"
"Dec 23, 2022",$0.0256,$0.02593,$0.02453,$0.02561,"$1,139,932","$2,705,533"
"Dec 22, 2022",$0.02449,$0.02635,$0.02366,$0.0255,"$1,028,266","$2,694,494"
"Dec 21, 2022",$0.02467,$0.0254,$0.02415,$0.02449,"$437,947","$2,587,603"
"Dec 20, 2022",$0.0244,$0.02534,$0.02422,$0.02467,"$447,054","$2,607,002"
"Dec 19, 2022",$0.02512,$0.02573,$0.02423,$0.02437,"$474,150","$2,574,538"
"Dec 18, 2022",$0.02545,$0.02612,$0.02486,$0.02512,"$613,646","$2,654,170"
"Dec 17, 2022",$0.02653,$0.02669,$0.02448,$0.02545,"$716,108","$2,689,032"
"Dec 16, 2022",$0.02812,$0.02833,$0.02581,$0.02653,"$695,868","$2,802,721"
"Dec 15, 2022",$0.02797,$0.02819,$0.02747,$0.0281,"$1,002,631","$2,969,263"
"Dec 14, 2022",$0.0274,$0.02837,$0.02737,$0.02797,"$894,927","$2,955,014"
"Dec 13, 2022",$0.02777,$0.02819,$0.02657,$0.0274,"$580,881","$2,895,344"
"Dec 12, 2022",$0.02782,$0.0284,$0.02666,$0.02777,"$712,097","$2,933,732"
"Dec 11, 2022",$0.02954,$0.02958,$0.02767,$0.02783,"$709,703","$2,940,027"
"Dec 10, 2022",$0.03091,$0.03157,$0.02868,$0.02955,"$1,713,884","$3,122,658"
"Dec 09, 2022",$0.02531,$0.03143,$0.02518,$0.03088,"$5,215,724","$3,262,475"
"Dec 08, 2022",$0.0247,$0.02639,$0.02465,$0.02526,"$1,954,962","$2,669,034"
"Dec 07, 2022",$0.02647,$0.02693,$0.02459,$0.0247,"$752,960","$2,610,034"
"Dec 06, 2022",$0.02703,$0.02728,$0.02626,$0.02647,"$1,192,378","$2,796,504"
"Dec 05, 2022",$0.02717,$0.0281,$0.02702,$0.02703,"$1,270,216","$2,856,455"
"Dec 04, 2022",$0.02887,$0.02995,$0.0271,$0.02717,"$3,527,912","$2,870,431"
"Dec 03, 2022",$0.02717,$0.02933,$0.02657,$0.02887,"$3,195,300","$3,050,135"
"Dec 02, 2022",$0.02567,$0.0273,$0.02528,$0.02717,"$2,852,637","$2,871,232"
"Dec 01, 2022",$0.02616,$0.02655,$0.02514,$0.02567,"$1,455,220","$2,712,271"
"Nov 30, 2022",$0.02533,$0.02677,$0.02499,$0.02616,"$1,636,466","$2,764,075"
"Nov 29, 2022",$0.02511,$0.02607,$0.02481,$0.02533,"$3,000,325","$2,676,301"
"Nov 28, 2022",$0.02594,$0.02649,$0.02467,$0.02508,"$4,784,084","$2,649,960"
"Nov 27, 2022",$0.02646,$0.02849,$0.02553,$0.02594,"$6,057,133","$2,741,274"
"Nov 26, 2022",$0.0258,$0.02694,$0.02555,$0.02648,"$3,984,027","$2,797,863"
"Nov 25, 2022",$0.02662,$0.02715,$0.02525,$0.02588,"$1,809,650","$2,733,994"
"Nov 24, 2022",$0.02726,$0.02949,$0.02661,$0.02662,"$6,428,888","$2,812,141"
"Nov 23, 2022",$0.02704,$0.02819,$0.0269,$0.02724,"$4,381,675","$2,878,004"
"Nov 22, 2022",$0.02694,$0.02807,$0.02638,$0.02704,"$4,054,204","$2,857,034"
"Nov 21, 2022",$0.0288,$0.02892,$0.02674,$0.02699,"$4,141,747","$2,851,672"
"Nov 20, 2022",$0.02944,$0.03119,$0.02873,$0.0288,"$4,086,380","$3,043,046"
"Nov 19, 2022",$0.02884,$0.02949,$0.0282,$0.02944,"$3,920,783","$3,110,708"
"Nov 18, 2022",$0.02707,$0.03106,$0.02699,$0.0288,"$7,172,671","$3,042,741"
"Nov 17, 2022",$0.02853,$0.02908,$0.02683,$0.02708,"$4,720,324","$2,861,701"
"Nov 16, 2022",$0.02841,$0.02981,$0.02721,$0.02853,"$1,695,444","$3,014,580"
"Nov 15, 2022",$0.02777,$0.03022,$0.0275,$0.02842,"$1,069,951","$3,003,280"
"Nov 14, 2022",$0.02851,$0.02854,$0.02601,$0.02771,"$1,776,774","$2,927,935"
"Nov 13, 2022",$0.02998,$0.03175,$0.02814,$0.0285,"$2,787,003","$3,011,450"
"Nov 12, 2022",$0.02979,$0.03171,$0.029,$0.02999,"$1,082,224","$3,168,236"
"Nov 11, 2022",$0.03192,$0.0328,$0.02979,$0.02979,"$1,831,486","$3,147,614"
"Nov 10, 2022",$0.02644,$0.03265,$0.02578,$0.03193,"$2,866,714","$3,373,313"
"Nov 09, 2022",$0.03699,$0.03716,$0.02626,$0.02644,"$2,284,048","$2,793,217"
"Nov 08, 2022",$0.04384,$0.04395,$0.03489,$0.03699,"$2,367,013","$3,908,288"
"Nov 07, 2022",$0.04346,$0.0445,$0.04243,$0.04384,"$629,963","$4,632,133"
"Nov 06, 2022",$0.04378,$0.04436,$0.04334,$0.04346,"$423,765","$4,592,103"
"Nov 05, 2022",$0.0431,$0.04407,$0.04226,$0.04378,"$662,385","$4,625,651"
"Nov 04, 2022",$0.04101,$0.0433,$0.04088,$0.0431,"$896,778","$4,554,191"
"Nov 03, 2022",$0.0422,$0.04311,$0.04064,$0.04101,"$1,326,248","$4,333,063"
"Nov 02, 2022",$0.04318,$0.04333,$0.04195,$0.04222,"$2,324,512","$4,460,747"
"Nov 01, 2022",$0.04259,$0.04408,$0.04212,$0.04318,"$2,251,030","$4,561,972"
"Oct 31, 2022",$0.04442,$0.04451,$0.04211,$0.04261,"$2,298,073","$4,501,931"
"Oct 30, 2022",$0.0443,$0.04457,$0.04347,$0.04442,"$1,933,044","$4,693,701"
"Oct 29, 2022",$0.04487,$0.04549,$0.04392,$0.04429,"$1,922,284","$4,680,120"
