Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.744,$0.7447,$0.7409,$0.741,"$146,749","$50,501,130"
"Dec 30, 2022",$0.741,$0.7454,$0.7399,$0.7439,"$724,137","$50,444,287"
"Dec 29, 2022",$0.7374,$0.7421,$0.7349,$0.741,"$287,755","$50,248,139"
"Dec 28, 2022",$0.7423,$0.7435,$0.7357,$0.7374,"$974,305","$50,005,832"
"Dec 27, 2022",$0.7403,$0.7425,$0.7376,$0.7423,"$286,285","$51,060,404"
"Dec 26, 2022",$0.7391,$0.7412,$0.7371,$0.7403,"$329,341","$50,923,515"
"Dec 25, 2022",$0.7298,$0.741,$0.7297,$0.7392,"$189,925","$50,698,075"
"Dec 24, 2022",$0.7411,$0.7412,$0.7023,$0.7298,"$57,726","$50,051,578"
"Dec 23, 2022",$0.7403,$0.7418,$0.7336,$0.7411,"$284,310","$50,672,224"
"Dec 22, 2022",$0.7409,$0.7446,$0.7364,$0.7403,"$1,791,619","$50,615,988"
"Dec 21, 2022",$0.739,$0.7417,$0.7348,$0.7408,"$277,735","$50,485,261"
"Dec 20, 2022",$0.7362,$0.7403,$0.7347,$0.739,"$584,215","$50,502,610"
"Dec 19, 2022",$0.7342,$0.7377,$0.7321,$0.7362,"$424,049","$50,308,219"
"Dec 18, 2022",$0.7346,$0.7357,$0.7315,$0.7342,"$203,370","$50,315,469"
"Dec 17, 2022",$0.7115,$0.7356,$0.7114,$0.7346,"$434,823","$50,346,306"
"Dec 16, 2022",$0.7319,$0.7369,$0.6986,$0.7115,"$663,889","$48,763,268"
"Dec 15, 2022",$0.5608,$0.7399,$0.5398,$0.7318,"$568,015","$50,106,224"
"Dec 14, 2022",$0.7389,$0.7395,$0.3371,$0.5607,"$2,576,985","$38,708,091"
"Dec 13, 2022",$0.7281,$0.742,$0.7025,$0.7389,"$1,295,535","$51,245,871"
"Dec 12, 2022",$0.7379,$0.7379,$0.7208,$0.7281,"$901,872","$49,914,716"
"Dec 11, 2022",$0.7219,$0.7404,$0.7214,$0.7379,"$256,549","$50,752,724"
"Dec 10, 2022",$0.725,$0.7279,$0.7085,$0.7219,"$216,725","$49,649,809"
