Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.72,$1.72,$1.63,$1.63,"$2,486","$10,340,590"
"Dec 30, 2022",$1.63,$1.72,$1.60,$1.71,"$2,284","$10,843,804"
"Dec 29, 2022",$1.62,$1.63,$1.61,$1.63,$260,"$10,296,137"
"Dec 28, 2022",$1.61,$1.64,$1.58,$1.62,"$9,669","$10,232,497"
"Dec 27, 2022",$1.50,$1.62,$1.49,$1.61,"$1,993","$10,165,205"
"Dec 26, 2022",$1.50,$1.51,$1.49,$1.50,$45,"$9,518,749"
"Dec 25, 2022",$1.60,$1.61,$1.49,$1.50,"$2,169","$9,482,565"
"Dec 24, 2022",$1.57,$1.61,$1.47,$1.60,"$9,597","$10,132,321"
"Dec 23, 2022",$1.53,$1.58,$1.38,$1.57,"$19,813","$9,942,736"
"Dec 22, 2022",$1.44,$1.55,$1.42,$1.53,"$2,834","$9,689,758"
"Dec 21, 2022",$1.53,$1.54,$1.36,$1.43,"$10,657","$9,077,406"
"Dec 20, 2022",$1.49,$1.67,$1.48,$1.54,"$7,170","$9,755,209"
"Dec 19, 2022",$1.58,$1.60,$1.47,$1.49,"$3,165","$9,403,219"
"Dec 18, 2022",$1.59,$1.65,$1.55,$1.58,"$1,513","$10,006,325"
"Dec 17, 2022",$1.56,$1.67,$1.50,$1.59,"$9,790","$10,061,425"
"Dec 16, 2022",$1.84,$1.87,$1.53,$1.56,"$4,482","$9,898,270"
"Dec 15, 2022",$1.90,$1.90,$1.83,$1.84,$190,"$11,651,193"
"Dec 14, 2022",$1.64,$2.13,$1.64,$1.90,"$26,147","$12,041,587"
"Dec 13, 2022",$1.65,$1.78,$1.57,$1.64,"$7,552","$10,380,752"
"Dec 12, 2022",$1.74,$1.77,$1.64,$1.65,"$2,252","$10,469,605"
"Dec 11, 2022",$1.51,$2.04,$1.46,$1.74,"$35,386","$11,016,799"
"Dec 10, 2022",$1.56,$1.58,$1.45,$1.51,"$6,916","$9,576,178"
"Dec 09, 2022",$1.45,$1.64,$1.41,$1.56,"$16,902","$9,862,587"
"Dec 08, 2022",$1.67,$1.68,$1.40,$1.45,"$10,463","$9,209,708"
"Dec 07, 2022",$1.83,$1.84,$1.41,$1.67,"$65,283","$10,588,771"
"Dec 06, 2022",$1.84,$1.86,$1.73,$1.83,"$6,407","$11,582,198"
"Dec 05, 2022",$1.87,$1.90,$1.83,$1.84,$215,"$11,669,597"
"Dec 04, 2022",$1.87,$1.89,$1.84,$1.87,$917,"$11,844,878"
"Dec 03, 2022",$1.87,$1.89,$1.83,$1.87,"$3,686","$11,849,469"
"Dec 02, 2022",$1.79,$1.87,$1.77,$1.87,"$2,485","$11,819,176"
"Dec 01, 2022",$1.90,$1.91,$1.77,$1.79,"$2,377","$11,361,967"
"Nov 30, 2022",$1.84,$2.01,$1.84,$1.90,"$14,760","$12,027,296"
"Nov 29, 2022",$1.86,$1.94,$1.83,$1.84,"$2,884","$11,651,970"
"Nov 28, 2022",$2.05,$2.11,$1.78,$1.86,"$15,307","$11,746,423"
"Nov 27, 2022",$2.23,$2.27,$2.05,$2.05,"$3,915","$12,960,071"
"Nov 26, 2022",$1.98,$2.26,$1.97,$2.23,"$7,281","$14,109,361"
"Nov 25, 2022",$1.98,$2.01,$1.95,$1.98,$472,"$12,508,658"
"Nov 24, 2022",$2.37,$2.38,$1.97,$1.97,"$25,320","$12,491,716"
"Nov 23, 2022",$2.21,$2.52,$2.20,$2.37,"$10,396","$14,986,688"
"Nov 22, 2022",$1.50,$2.26,$1.49,$2.22,"$51,991","$14,025,313"
"Nov 21, 2022",$1.59,$1.68,$1.28,$1.50,"$51,219","$9,482,484"
"Nov 20, 2022",$1.70,$1.74,$1.56,$1.59,"$7,284","$10,068,055"
"Nov 19, 2022",$1.53,$1.71,$1.50,$1.70,"$17,884","$10,750,212"
"Nov 18, 2022",$1.44,$1.57,$1.44,$1.53,"$11,455","$9,687,459"
"Nov 17, 2022",$1.41,$1.48,$1.36,$1.44,"$18,698","$9,097,195"
"Nov 16, 2022",$1.39,$1.48,$1.34,$1.41,"$13,151","$8,899,348"
"Nov 15, 2022",$1.44,$1.46,$1.37,$1.39,"$5,019","$8,808,611"
"Nov 14, 2022",$1.29,$1.50,$1.25,$1.44,"$6,474","$9,091,410"
"Nov 13, 2022",$1.37,$1.39,$1.27,$1.28,"$7,606","$8,129,599"
"Nov 12, 2022",$1.40,$1.71,$1.32,$1.38,$634,"$8,706,436"
"Nov 11, 2022",$1.48,$1.48,$1.24,$1.39,"$13,645","$8,818,240"
"Nov 10, 2022",$1.23,$1.52,$1.18,$1.48,"$48,758","$9,385,332"
"Nov 09, 2022",$1.28,$1.36,$1.13,$1.23,"$29,895","$7,804,263"
"Nov 08, 2022",$1.44,$1.72,$1.18,$1.28,"$90,778","$8,117,483"
"Nov 07, 2022",$1.40,$1.49,$1.35,$1.44,"$11,876","$9,122,187"
"Nov 06, 2022",$1.54,$1.56,$1.34,$1.40,"$24,798","$8,883,869"
"Nov 05, 2022",$1.61,$1.72,$1.54,$1.54,"$7,201","$9,769,512"
